Date/Time,Tb_dead,Model_temp
29/11/18 12:00,38,39.5
29/11/18 12:05,38,39.5
29/11/18 12:10,38.5,39
29/11/18 12:15,38.5,39
29/11/18 12:20,38.5,39
29/11/18 12:25,38.5,39
29/11/18 12:30,38.5,39
29/11/18 12:35,38.5,38.5
29/11/18 12:40,38.5,38.5
29/11/18 12:45,38.5,39
29/11/18 12:50,38.5,39.5
29/11/18 12:55,38.5,39.5
29/11/18 13:00,38.5,39.5
29/11/18 13:05,38.5,39.5
29/11/18 13:10,38.5,40
29/11/18 13:15,38.5,40
29/11/18 13:20,38.5,39.5
29/11/18 13:25,38.5,39.5
29/11/18 13:30,38.5,40.5
29/11/18 13:35,38.5,40.5
29/11/18 13:40,38.5,40.5
29/11/18 13:45,38.5,40.5
29/11/18 13:50,38.5,39.5
29/11/18 13:55,38.5,39.5
29/11/18 14:00,38.5,40
29/11/18 14:05,38.5,40
29/11/18 14:10,38.5,39.5
29/11/18 14:15,38.5,40
29/11/18 14:20,39,40.5
29/11/18 14:25,39,40
29/11/18 14:30,39,40
29/11/18 14:35,39,40
29/11/18 14:40,38.5,40
29/11/18 14:45,38.5,40
29/11/18 14:50,38.5,40
29/11/18 14:55,38.5,40.5
29/11/18 15:00,38.5,40
29/11/18 15:05,38.5,40.5
29/11/18 15:10,38.5,41
29/11/18 15:15,38.5,40
29/11/18 15:20,38.5,39.5
29/11/18 15:25,38.5,39.5
29/11/18 15:30,38.5,40
29/11/18 15:35,38.5,40
29/11/18 15:40,38.5,39.5
29/11/18 15:45,38.5,39
29/11/18 15:50,38,39
29/11/18 15:55,38,39
29/11/18 16:00,38,38.5
29/11/18 16:05,38,38.5
29/11/18 16:10,38,38.5
29/11/18 16:15,38,39
29/11/18 16:20,38,39
29/11/18 16:25,37.5,39
29/11/18 16:30,37.5,38.5
29/11/18 16:35,37.5,38.5
29/11/18 16:40,37.5,38
29/11/18 16:45,37,38
29/11/18 16:50,37,40
29/11/18 16:55,37,40.5
29/11/18 17:00,37,40
29/11/18 17:05,37,39.5
29/11/18 17:10,37,39
29/11/18 17:15,37,38.5
29/11/18 17:20,37,38.5
29/11/18 17:25,37,38
29/11/18 17:30,36.5,37.5
29/11/18 17:35,36.5,37.5
29/11/18 17:40,36.5,37
29/11/18 17:45,36,37
29/11/18 17:50,36,37
29/11/18 17:55,36,37
29/11/18 18:00,36,36.5
29/11/18 18:05,35.5,36.5
29/11/18 18:10,35.5,36
29/11/18 18:15,35.5,36
29/11/18 18:20,35,36
29/11/18 18:25,35,36
29/11/18 18:30,35,35.5
29/11/18 18:35,35,35.5
29/11/18 18:40,35,35.5
29/11/18 18:45,34.5,35.5
29/11/18 18:50,34.5,35
29/11/18 18:55,34.5,35
29/11/18 19:00,34.5,35
29/11/18 19:05,34,35
29/11/18 19:10,34,35
29/11/18 19:15,34,35
29/11/18 19:20,34,35
29/11/18 19:25,33.5,35
29/11/18 19:30,33.5,34.5
29/11/18 19:35,33.5,34.5
29/11/18 19:40,33.5,34.5
29/11/18 19:45,33.5,34.5
29/11/18 19:50,33,34.5
29/11/18 19:55,33,33.5
29/11/18 20:00,32.5,32.5
29/11/18 20:05,32.5,32
29/11/18 20:10,32,32
29/11/18 20:15,32,31.5
29/11/18 20:20,31.5,31.5
29/11/18 20:25,31.5,31.5
29/11/18 20:30,31.5,31.5
29/11/18 20:35,31.5,31.5
29/11/18 20:40,31.5,31.5
29/11/18 20:45,31.5,31.5
29/11/18 20:50,31.5,31.5
29/11/18 20:55,31.5,31
29/11/18 21:00,31.5,31
29/11/18 21:05,31.5,31
29/11/18 21:10,31.5,31
29/11/18 21:15,31,31
29/11/18 21:20,31,31
29/11/18 21:25,31,31
29/11/18 21:30,31,30.5
29/11/18 21:35,31,30.5
29/11/18 21:40,31,30.5
29/11/18 21:45,31,30.5
29/11/18 21:50,30.5,30.5
29/11/18 21:55,30.5,30.5
29/11/18 22:00,30.5,30.5
29/11/18 22:05,30.5,30.5
29/11/18 22:10,30.5,30
29/11/18 22:15,30.5,30
29/11/18 22:20,30.5,30
29/11/18 22:25,30.5,30
29/11/18 22:30,30.5,30
29/11/18 22:35,30,30
29/11/18 22:40,30,30
29/11/18 22:45,30,30
29/11/18 22:50,30,30
29/11/18 22:55,30,30
29/11/18 23:00,30,30
29/11/18 23:05,30,30
29/11/18 23:10,30,30
29/11/18 23:15,30,29.5
29/11/18 23:20,30,29.5
29/11/18 23:25,30,29.5
29/11/18 23:30,30,29.5
29/11/18 23:35,29.5,29.5
29/11/18 23:40,29.5,29.5
29/11/18 23:45,29.5,29.5
29/11/18 23:50,29.5,29.5
29/11/18 23:55,29.5,29
30/11/18 00:00,29,29
30/11/18 00:05,29,29
30/11/18 00:10,29,29
30/11/18 00:15,29,29
30/11/18 00:20,29,29
30/11/18 00:25,29,29
30/11/18 00:30,29,29
30/11/18 00:35,29,29
30/11/18 00:40,29,29
30/11/18 00:45,29,29
30/11/18 00:50,28.5,29
30/11/18 00:55,28.5,29
30/11/18 01:00,28.5,28.5
30/11/18 01:05,28.5,28.5
30/11/18 01:10,28.5,28.5
30/11/18 01:15,28.5,28.5
30/11/18 01:20,28.5,28.5
30/11/18 01:25,28.5,28.5
30/11/18 01:30,28.5,28
30/11/18 01:35,28.5,28
30/11/18 01:40,28,28
30/11/18 01:45,28,28
30/11/18 01:50,28,28.5
30/11/18 01:55,28,28.5
30/11/18 02:00,28,28.5
30/11/18 02:05,28,28.5
30/11/18 02:10,28,28.5
30/11/18 02:15,28.5,28.5
30/11/18 02:20,28.5,28.5
30/11/18 02:25,28.5,28.5
30/11/18 02:30,28.5,28.5
30/11/18 02:35,28.5,28.5
30/11/18 02:40,28.5,28
30/11/18 02:45,28.5,28
30/11/18 02:50,28.5,28
30/11/18 02:55,28.5,28
30/11/18 03:00,28.5,28
30/11/18 03:05,28.5,28
30/11/18 03:10,28,28
30/11/18 03:15,28.5,28
30/11/18 03:20,28.5,28
30/11/18 03:25,28,28
30/11/18 03:30,28,28
30/11/18 03:35,28,28
30/11/18 03:40,28,28
30/11/18 03:45,28.5,28
30/11/18 03:50,28,27.5
30/11/18 03:55,28,27.5
30/11/18 04:00,28,27.5
30/11/18 04:05,28.5,27.5
30/11/18 04:10,28,27.5
30/11/18 04:15,28.5,27.5
30/11/18 04:20,28.5,27.5
30/11/18 04:25,28.5,27.5
30/11/18 04:30,28.5,27.5
30/11/18 04:35,28.5,27.5
30/11/18 04:40,28.5,27.5
30/11/18 04:45,28.5,27.5
30/11/18 04:50,28.5,27.5
30/11/18 04:55,28.5,27.5
30/11/18 05:00,28.5,27.5
30/11/18 05:05,28.5,27.5
30/11/18 05:10,28.5,27.5
30/11/18 05:15,28.5,27
30/11/18 05:20,28.5,27
30/11/18 05:25,28.5,27
30/11/18 05:30,28.5,27
30/11/18 05:35,28.5,27
30/11/18 05:40,28.5,27
30/11/18 05:45,28.5,26.5
30/11/18 05:50,28.5,26.5
30/11/18 05:55,28.5,26.5
30/11/18 06:00,28.5,26.5
30/11/18 06:05,28.5,27
30/11/18 06:10,28.5,27.5
30/11/18 06:15,28.5,27.5
30/11/18 06:20,29,27.5
30/11/18 06:25,28.5,27.5
30/11/18 06:30,29,27.5
30/11/18 06:35,29,27.5
30/11/18 06:40,29,28
30/11/18 06:45,29,28
30/11/18 06:50,29,28.5
30/11/18 06:55,29,28.5
30/11/18 07:00,29,29
30/11/18 07:05,29,29
30/11/18 07:10,29,29
30/11/18 07:15,28.5,29.5
30/11/18 07:20,29,29.5
30/11/18 07:25,29,30
30/11/18 07:30,29,30
30/11/18 07:35,29,30
30/11/18 07:40,29,30.5
30/11/18 07:45,29,31
30/11/18 07:50,29,31
30/11/18 07:55,29.5,31.5
30/11/18 08:00,30,31.5
30/11/18 08:05,30,31.5
30/11/18 08:10,30,32
30/11/18 08:15,30,32.5
30/11/18 08:20,30,33
30/11/18 08:25,30,33
30/11/18 08:30,30.5,33
30/11/18 08:35,30.5,33.5
30/11/18 08:40,31,33.5
30/11/18 08:45,30.5,33.5
30/11/18 08:50,31,33.5
30/11/18 08:55,31.5,33.5
30/11/18 09:00,31.5,33.5
30/11/18 09:05,32,34
30/11/18 09:10,32,34
30/11/18 09:15,32,34.5
30/11/18 09:20,32,34.5
30/11/18 09:25,32.5,34.5
30/11/18 09:30,32,34.5
30/11/18 09:35,32.5,35
30/11/18 09:40,32.5,35
30/11/18 09:45,32.5,35.5
30/11/18 09:50,33,35.5
30/11/18 09:55,33,35.5
30/11/18 10:00,33,35.5
30/11/18 10:05,33,35.5
30/11/18 10:10,33.5,35.5
30/11/18 10:15,33.5,36
30/11/18 10:20,34,36.5
30/11/18 10:25,34,36.5
30/11/18 10:30,33.5,37
30/11/18 10:35,33.5,36.5
30/11/18 10:40,33.5,37
30/11/18 10:45,33.5,38
30/11/18 10:50,33,37.5
30/11/18 10:55,33,37.5
30/11/18 11:00,32.5,38
30/11/18 11:05,33,38
30/11/18 11:10,33,38.5
30/11/18 11:15,33,38
30/11/18 11:20,33,38
30/11/18 11:25,33,37.5
30/11/18 11:30,33,38
30/11/18 11:35,33,38.5
30/11/18 11:40,33.5,39.5
30/11/18 11:45,33.5,40
30/11/18 11:50,34,39.5
30/11/18 11:55,34,40
30/11/18 12:00,34,40
30/11/18 12:05,34,39
30/11/18 12:10,34,39
30/11/18 12:15,34.5,39
30/11/18 12:20,34,39.5
30/11/18 12:25,34.5,39
30/11/18 12:30,34.5,39.5
30/11/18 12:35,34,39.5
30/11/18 12:40,33.5,40
30/11/18 12:45,33.5,39.5
30/11/18 12:50,34,39.5
30/11/18 12:55,34,39
30/11/18 13:00,33.5,38.5
30/11/18 13:05,34,38.5
30/11/18 13:10,33.5,38.5
30/11/18 13:15,33.5,38.5
30/11/18 13:20,33.5,38
30/11/18 13:25,33,37.5
30/11/18 13:30,33,37
30/11/18 13:35,33,36.5
30/11/18 13:40,32.5,35
30/11/18 13:45,31.5,33
30/11/18 13:50,29.5,28
30/11/18 13:55,28.5,25
30/11/18 14:00,28.5,24
30/11/18 14:05,28.5,24.5
30/11/18 14:10,28,25.5
30/11/18 14:15,28,25.5
30/11/18 14:20,27.5,23
30/11/18 14:25,27.5,23
30/11/18 14:30,28.5,23
30/11/18 14:35,28.5,23.5
30/11/18 14:40,29,24.5
30/11/18 14:45,29.5,25.5
30/11/18 14:50,30,26
30/11/18 14:55,30.5,27
30/11/18 15:00,30.5,27.5
30/11/18 15:05,31,28
